A Child Called It	https://web.archive.org/web/20210213005530/https://www.novelguide.com/a-child-called-it
A Christmas Carol	https://web.archive.org/web/20210213005530/https://www.novelguide.com/a-christmas-carol
A Clean Well Lighted Place	https://web.archive.org/web/20210213005530/https://www.novelguide.com/a-clean-well-lighted-place
A Clockwork Orange	https://web.archive.org/web/20210213005530/https://www.novelguide.com/a-clockwork-orange
A Confederacy of Dunces	https://web.archive.org/web/20210213005530/https://www.novelguide.com/a-confederacy-of-dunces
A Connecticut Yankee in King Arthur's Court	https://web.archive.org/web/20210213005530/https://www.novelguide.com/a-connecticut-yankee-in-king-arthurs-court
A Doll's House	https://web.archive.org/web/20210213005530/https://www.novelguide.com/a-dolls-house
A Farewell To Arms	https://web.archive.org/web/20210213005530/https://www.novelguide.com/a-farewell-to-arms
A Hope in the Unseen	https://web.archive.org/web/20210213005530/https://www.novelguide.com/a-hope-in-the-unseen
A Lesson Before Dying	https://web.archive.org/web/20210213005530/https://www.novelguide.com/a-lesson-before-dying
A Long Way Gone	https://web.archive.org/web/20210213005530/https://www.novelguide.com/a-long-way-gone
A Lost Lady	https://web.archive.org/web/20210213005530/https://www.novelguide.com/a-lost-lady
A Man For All Seasons	https://web.archive.org/web/20210213005530/https://www.novelguide.com/a-man-for-all-seasons
A Midsummer Night's Dream	https://web.archive.org/web/20210213005530/https://www.novelguide.com/a-midsummer-nights-dream
A Modest Proposal	https://web.archive.org/web/20210213005530/https://www.novelguide.com/a-modest-proposal
A Passage to India	https://web.archive.org/web/20210213005530/https://www.novelguide.com/a-passage-to-india
A Portrait of the Artist as a Young Man	https://web.archive.org/web/20210213005530/https://www.novelguide.com/a-portrait-of-the-artist-as-a-young-man
A Raisin in the Sun	https://web.archive.org/web/20210213005530/https://www.novelguide.com/a-raisin-in-the-sun
A Room With a View	https://web.archive.org/web/20210213005530/https://www.novelguide.com/a-room-with-a-view/index
A Separate Peace	https://web.archive.org/web/20210213005530/https://www.novelguide.com/a-separate-peace
A Streetcar Named Desire	https://web.archive.org/web/20210213005530/https://www.novelguide.com/a-streetcar-named-desire
A Tale of Two Cities	https://web.archive.org/web/20210213005530/https://www.novelguide.com/a-tale-of-two-cities
A Thousand Splendid Suns	https://web.archive.org/web/20210213005530/https://www.novelguide.com/a-thousand-splendid-suns
A Tree Grows In Brooklyn	https://web.archive.org/web/20210213005530/https://www.novelguide.com/a-tree-grows-in-brooklyn
A Walk to Remember	https://web.archive.org/web/20210213005530/https://www.novelguide.com/a-walk-to-remember
A Wrinkle In Time	https://web.archive.org/web/20210213005530/https://www.novelguide.com/a-wrinkle-in-time
A&P	https://web.archive.org/web/20210213005530/https://www.novelguide.com/ap/index
Absalom, Absalom!	https://web.archive.org/web/20210213005530/https://www.novelguide.com/absalom-absalom
Across Five Aprils	https://web.archive.org/web/20210213005530/https://www.novelguide.com/across-five-aprils
Adam Bede	https://web.archive.org/web/20210213005530/https://www.novelguide.com/adam-bede
Adventures of Augie March	https://web.archive.org/web/20200109120617/http://www.novelguide.com/adventures-of-augie-march
Agamemnon	https://web.archive.org/web/20200109120617/http://www.novelguide.com/agamemnon
Alas Babylon	https://web.archive.org/web/20200109120617/http://www.novelguide.com/alas-babylon
Alice in Wonderland	https://web.archive.org/web/20200109120617/http://www.novelguide.com/alice-in-wonderland/index
All But My Life	https://web.archive.org/web/20200109120617/http://www.novelguide.com/all-my-life/introduction
All My Sons	https://web.archive.org/web/20200109120617/http://www.novelguide.com/all-my-sons
All Quiet on the Western Front	https://web.archive.org/web/20200109120617/http://www.novelguide.com/all-quiet-on-the-western-front
All the Kings Men	https://web.archive.org/web/20200109120617/http://www.novelguide.com/all-the-kings-men
All the Pretty Horses	https://web.archive.org/web/20200109120617/http://www.novelguide.com/all-the-pretty-horses
All's Well That Ends Well	https://web.archive.org/web/20200109120617/http://www.novelguide.com/alls-well-that-ends-well
An American Tragedy	https://web.archive.org/web/20200109120617/http://www.novelguide.com/an-american-tragedy
An Enemy of the People	https://web.archive.org/web/20200109120617/http://www.novelguide.com/an-enemy-of-the-people
An Ideal Husband	https://web.archive.org/web/20200109120617/http://www.novelguide.com/an-ideal-husband
And Then There Were None	https://web.archive.org/web/20200109120617/http://www.novelguide.com/and-then-there-were-none/index.html
Angela's Ashes	https://web.archive.org/web/20200109120617/http://www.novelguide.com/angelasashes
Animal Farm	https://web.archive.org/web/20200109120617/http://www.novelguide.com/animal-farm/index.html
Ann of Green Gables	https://web.archive.org/web/20200109120617/http://www.novelguide.com/ann-of-green-gables/introduction
Anna Karenina	https://web.archive.org/web/20200109120617/http://www.novelguide.com/anna-karenina/index.html
Annie John	https://web.archive.org/web/20200109120617/http://www.novelguide.com/annie-john/introduction
Anthem	https://web.archive.org/web/20200109120617/http://www.novelguide.com/anthem
Antigone	https://web.archive.org/web/20200109120617/http://www.novelguide.com/antigone-jean-anouilh
Antigone Sophocles	https://web.archive.org/web/20200109120617/http://www.novelguide.com/antigone-sophocles
Antony And Cleopatra	https://web.archive.org/web/20200109120617/http://www.novelguide.com/antony-and-cleopatra/index
Apology	https://web.archive.org/web/20200109120617/http://www.novelguide.com/apology
April Morning	https://web.archive.org/web/20200109120617/http://www.novelguide.com/april-morning
Aristotle's Poetics	https://web.archive.org/web/20200109120617/http://www.novelguide.com/aristotles-poetics/index.html
Aristotle's Politics	https://web.archive.org/web/20200109120617/http://www.novelguide.com/aristotles-politics/index.html
Aristotles Ethics	https://web.archive.org/web/20200109120617/http://www.novelguide.com/aristotles-ethics/index.html
